	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
60	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=40	1.26	1.41	-0.1499999999999999	0.083	0.0	0.083	1	100	40				0	6	0.0627372640085078	0	0.0627372640085078
61	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=400	111.92	1.41	110.51	3.417	0.0	3.417	1	100	400				0	6	0.6539446947610214	0	0.6539446947610214
62	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=45	1.0	1.41	-0.4099999999999999	0.167	0.0	0.167	1	100	45				0	6	0.0582942838704211	0	0.0582942838704211
63	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=50	2.56	1.41	1.1500000000000001	0.0	0.0	0.0	1	100	50				0	6	0.280110711247917	0	0.280110711247917
64	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=55	2.54	1.41	1.1300000000000001	0.0	0.0	0.0	1	100	55				0	6	0.2844542275214955	0	0.2844542275214955
65	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=60	2.17	1.41	0.76	0.0	0.0	0.0	1	100	60				0	6	0.2763332073546937	0	0.2763332073546937
66	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=65	2.61	1.41	1.2	0.0	0.0	0.0	1	100	65				0	6	0.2696495041256438	0	0.2696495041256438
67	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=70	2.75	1.41	1.34	0.0	0.0	0.0	1	100	70				0	6	0.2627908641699364	0	0.2627908641699364
68	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=75	2.73	1.41	1.32	0.0	0.0	0.0	1	100	75				0	6	0.3054636120017233	0	0.3054636120017233
69	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=80	2.13	1.41	0.72	0.0	0.0	0.0	1	100	80				0	6	0.2648931026099911	0	0.2648931026099911
